cell_id,workload,iv_ms,duration_s,replicate,n_pairs,window,hop,hop_ratio,n_windows,apf_mean,apf_std,cv_workingset,f1_phase,cepstral_peak_idx,ceps_peak_snr_db,stat_pass_frac,coverage_ratio,traj_sha256,status
0359369abb55,mem_writemag_sweep_v2,500,600,2,970,8,8,1.0,121,0.25168597034572326,0.006560237256852456,0.026078614673251836,,969,16.50213796095071,0.9504132231404959,0.13333333333333333,d57777571f0410a0,ok
0359369abb55,mem_writemag_sweep_v2,500,600,2,970,16,4,0.25,239,0.25168597034572326,0.006560237256852456,0.026078614673251836,,969,16.50213796095071,0.9539748953974896,0.26666666666666666,d57777571f0410a0,ok
0359369abb55,mem_writemag_sweep_v2,500,600,2,970,16,8,0.5,120,0.25168597034572326,0.006560237256852456,0.026078614673251836,,969,16.50213796095071,0.95,0.26666666666666666,d57777571f0410a0,ok
0359369abb55,mem_writemag_sweep_v2,500,600,2,970,16,16,1.0,60,0.25168597034572326,0.006560237256852456,0.026078614673251836,,969,16.50213796095071,0.95,0.26666666666666666,d57777571f0410a0,ok
0359369abb55,mem_writemag_sweep_v2,500,600,2,970,32,8,0.25,118,0.25168597034572326,0.006560237256852456,0.026078614673251836,,969,16.50213796095071,0.9576271186440678,0.5333333333333333,d57777571f0410a0,ok
0359369abb55,mem_writemag_sweep_v2,500,600,2,970,32,16,0.5,59,0.25168597034572326,0.006560237256852456,0.026078614673251836,,969,16.50213796095071,0.9491525423728814,0.5333333333333333,d57777571f0410a0,ok
0359369abb55,mem_writemag_sweep_v2,500,600,2,970,32,32,1.0,30,0.25168597034572326,0.006560237256852456,0.026078614673251836,,969,16.50213796095071,0.9333333333333333,0.5333333333333333,d57777571f0410a0,ok
0359369abb55,mem_writemag_sweep_v2,500,600,2,970,64,16,0.25,57,0.25168597034572326,0.006560237256852456,0.026078614673251836,,969,16.50213796095071,0.9649122807017544,1.0666666666666667,d57777571f0410a0,ok
0359369abb55,mem_writemag_sweep_v2,500,600,2,970,64,32,0.5,29,0.25168597034572326,0.006560237256852456,0.026078614673251836,,969,16.50213796095071,0.9655172413793104,1.0666666666666667,d57777571f0410a0,ok
0359369abb55,mem_writemag_sweep_v2,500,600,2,970,64,64,1.0,15,0.25168597034572326,0.006560237256852456,0.026078614673251836,,969,16.50213796095071,0.9333333333333333,1.0666666666666667,d57777571f0410a0,ok
0729046a8e79,sandbox_ransom_batched,500,120,1,181,8,2,0.25,87,0.007859561983393042,0.0019668133605540853,,,161,7.563569148784356,0.9655172413793104,0.2,9b6e35de67f103a0,ok
0729046a8e79,sandbox_ransom_batched,500,120,1,181,8,4,0.5,44,0.007859561983393042,0.0019668133605540853,,,161,7.563569148784356,0.9545454545454546,0.2,9b6e35de67f103a0,ok
0729046a8e79,sandbox_ransom_batched,500,120,1,181,8,8,1.0,22,0.007859561983393042,0.0019668133605540853,,,161,7.563569148784356,0.9090909090909091,0.2,9b6e35de67f103a0,ok
0729046a8e79,sandbox_ransom_batched,500,120,1,181,16,4,0.25,42,0.007859561983393042,0.0019668133605540853,,,161,7.563569148784356,0.9761904761904762,0.4,9b6e35de67f103a0,ok
0729046a8e79,sandbox_ransom_batched,500,120,1,181,16,8,0.5,21,0.007859561983393042,0.0019668133605540853,,,161,7.563569148784356,0.9523809523809523,0.4,9b6e35de67f103a0,ok
