cell_id,workload,iv_ms,duration_s,replicate,n_pairs,window,hop,hop_ratio,n_windows,apf_mean,apf_std,cv_workingset,f1_phase,cepstral_peak_idx,ceps_peak_snr_db,stat_pass_frac,coverage_ratio,traj_sha256,status
201e8322fe63,sandbox_ransom_seq,500,600,2,47,8,2,0.25,20,0.22873233227019615,0.16266583183721692,,,45,4.283139521042113,1.0,0.2,191109f96a913edf,ok
201e8322fe63,sandbox_ransom_seq,500,600,2,47,8,4,0.5,10,0.22873233227019615,0.16266583183721692,,,45,4.283139521042113,1.0,0.2,191109f96a913edf,ok
201e8322fe63,sandbox_ransom_seq,500,600,2,47,8,8,1.0,5,0.22873233227019615,0.16266583183721692,,,45,4.283139521042113,1.0,0.2,191109f96a913edf,ok
201e8322fe63,sandbox_ransom_seq,500,600,2,47,16,4,0.25,8,0.22873233227019615,0.16266583183721692,,,45,4.283139521042113,1.0,0.4,191109f96a913edf,ok
201e8322fe63,sandbox_ransom_seq,500,600,2,47,16,8,0.5,4,0.22873233227019615,0.16266583183721692,,,45,4.283139521042113,1.0,0.4,191109f96a913edf,ok
201e8322fe63,sandbox_ransom_seq,500,600,2,47,16,16,1.0,2,0.22873233227019615,0.16266583183721692,,,45,4.283139521042113,1.0,0.4,191109f96a913edf,ok
201e8322fe63,sandbox_ransom_seq,500,600,2,47,32,8,0.25,2,0.22873233227019615,0.16266583183721692,,,45,4.283139521042113,1.0,0.8,191109f96a913edf,ok
201e8322fe63,sandbox_ransom_seq,500,600,2,47,32,16,0.5,1,0.22873233227019615,0.16266583183721692,,,45,4.283139521042113,1.0,0.8,191109f96a913edf,ok
201e8322fe63,sandbox_ransom_seq,500,600,2,47,32,32,1.0,1,0.22873233227019615,0.16266583183721692,,,45,4.283139521042113,1.0,0.8,191109f96a913edf,ok
201e8322fe63,sandbox_ransom_seq,500,600,2,47,64,16,0.25,0,,,,,,,,1.6,191109f96a913edf,skip:short
201e8322fe63,sandbox_ransom_seq,500,600,2,47,64,32,0.5,0,,,,,,,,1.6,191109f96a913edf,skip:short
201e8322fe63,sandbox_ransom_seq,500,600,2,47,64,64,1.0,0,,,,,,,,1.6,191109f96a913edf,skip:short
3fe1ad0dfc55,sandbox_ransom_batched,500,600,2,973,8,2,0.25,483,0.007839591015524634,0.0009752335310910929,,,939,9.158444794898319,0.989648033126294,0.2,416fa7e1418894ab,ok
3fe1ad0dfc55,sandbox_ransom_batched,500,600,2,973,8,4,0.5,242,0.007839591015524634,0.0009752335310910929,,,939,9.158444794898319,0.987603305785124,0.2,416fa7e1418894ab,ok
3fe1ad0dfc55,sandbox_ransom_batched,500,600,2,973,8,8,1.0,121,0.007839591015524634,0.0009752335310910929,,,939,9.158444794898319,0.9834710743801653,0.2,416fa7e1418894ab,ok
3fe1ad0dfc55,sandbox_ransom_batched,500,600,2,973,16,4,0.25,240,0.007839591015524634,0.0009752335310910929,,,939,9.158444794898319,0.9916666666666667,0.4,416fa7e1418894ab,ok
