family,workload,kind,duration_s,rep,apf_mean,apf_cov,apf_max,duty_gt05,n_windows,wr_rate_mbs,wr_total_mb,rd_rate_mbs,rd_total_mb,rd_frac
mem_sweep,mem_writemag_sweep_v2,benign,120,2,0.25092228091492946,0.008948688725397707,0.2681312561035156,1.0,48,0.0146,7.46,0.0003,0.14,0.0178
mem_sweep,mem_writemag_sweep_v2,benign,300,1,0.25068005507554464,0.006204239907850957,0.272247314453125,1.0,122,0.0058,7.65,0.0001,0.14,0.0174
mem_sweep,mem_writemag_sweep_v2,benign,300,2,0.25068389736876195,0.006072502576925209,0.2685432434082031,1.0,121,0.0078,10.2,0.0001,0.15,0.0143
mem_sweep,mem_writemag_sweep_v2,benign,600,1,0.25056924062445307,0.0038694368141152704,0.26985931396484375,1.0,244,0.0029,7.52,0.0001,0.14,0.0176
mem_sweep,mem_writemag_sweep_v2,benign,600,2,0.25065273016051937,0.009593333324252324,0.31922149658203125,1.0,243,0.0033,8.72,0.0192,49.34,0.8499
ransomware,sandbox_ransom_batched,threat,120,1,0.0076761963546917,0.22850308352227933,0.021274566650390625,0.0,45,0.0133,7.24,0.0003,0.16,0.0216
ransomware,sandbox_ransom_batched,threat,120,2,0.007833197177984776,0.2528943553374915,0.02317047119140625,0.0,47,0.0133,6.88,0.0003,0.15,0.0215
ransomware,sandbox_ransom_batched,threat,300,1,0.007557673532454694,0.1584548995281651,0.020538330078125,0.0,121,0.0083,10.92,0.0001,0.16,0.0144
ransomware,sandbox_ransom_batched,threat,300,2,0.007645627459742992,0.1659129273136451,0.01996612548828125,0.0,115,0.0039,8.79,0.0001,0.16,0.0183
ransomware,sandbox_ransom_batched,threat,600,1,0.007707374313997463,0.13754550656336476,0.022220611572265625,0.0,242,0.0037,9.73,0.0001,0.16,0.0166
ransomware,sandbox_ransom_batched,threat,600,2,0.008001202993442357,0.1301690832257827,0.021953582763671875,0.0,240,0.0013,7.97,0.0001,0.16,0.0202
ransomware,sandbox_ransom_selective,threat,120,1,0.3619848398061899,0.41457975586539836,0.5285491943359375,1.0,5,69.9905,13372.87,20.686,3958.58,0.2284
ransomware,sandbox_ransom_selective,threat,120,2,0.36433803673946497,0.3651603332054027,0.5376815795898438,1.0,7,83.0804,15212.74,24.3883,4696.76,0.2359
ransomware,sandbox_ransom_selective,threat,300,1,0.3579847547743056,0.34628615513436,0.5268898010253906,1.0,14,59.6244,29766.47,19.9466,9382.81,0.2397
ransomware,sandbox_ransom_selective,threat,300,2,0.41673946380615234,0.2464672004829591,0.5270805358886719,1.0,11,68.8993,24021.09,24.8056,7812.37,0.2454
ransomware,sandbox_ransom_selective,threat,600,1,0.36991333961486816,0.32471161086468575,0.5259819030761719,1.0,23,43.6782,46232.73,16.3687,14913.27,0.2439
ransomware,sandbox_ransom_selective,threat,600,2,0.3547741174697876,0.42353214620787444,0.5265121459960938,1.0,15,49.8406,28152.5,18.3,9342.18,0.2492
