step_index,test_name,workload,duration_s,rep,traj_file
38,test38_sandbox_scanner_metadata,sandbox_scanner_metadata,120,2,run_matrix_test38_sandbox_scanner_metadata.npy.apf_trajectory.jsonl
39,test39_mem_workingset_sweep_v2,mem_workingset_sweep_v2,120,2,run_matrix_test39_mem_workingset_sweep_v2.npy.apf_trajectory.jsonl
40,test40_mem_mmap_traversal_v2,mem_mmap_traversal_v2,120,2,run_matrix_test40_mem_mmap_traversal_v2.npy.apf_trajectory.jsonl
41,test41_mem_pagefault_density_v2,mem_pagefault_density_v2,120,2,run_matrix_test41_mem_pagefault_density_v2.npy.apf_trajectory.jsonl
42,test42_mem_rmw_intensity_v2,mem_rmw_intensity_v2,120,2,run_matrix_test42_mem_rmw_intensity_v2.npy.apf_trajectory.jsonl
43,test43_mem_writemag_sweep_v2,mem_writemag_sweep_v2,120,2,run_matrix_test43_mem_writemag_sweep_v2.npy.apf_trajectory.jsonl
44,test44_app_hashtable_intensive_v2,app_hashtable_intensive_v2,120,2,run_matrix_test44_app_hashtable_intensive_v2.npy.apf_trajectory.jsonl
45,test45_sandbox_ransom_seq,sandbox_ransom_seq,300,2,run_matrix_test45_sandbox_ransom_seq.npy.apf_trajectory.jsonl
46,test46_sandbox_ransom_slowburn,sandbox_ransom_slowburn,300,2,run_matrix_test46_sandbox_ransom_slowburn.npy.apf_trajectory.jsonl
47,test47_sandbox_ransom_selective,sandbox_ransom_selective,300,2,run_matrix_test47_sandbox_ransom_selective.npy.apf_trajectory.jsonl
48,test48_sandbox_ransom_batched,sandbox_ransom_batched,300,2,run_matrix_test48_sandbox_ransom_batched.npy.apf_trajectory.jsonl
49,test49_sandbox_scanner_metadata,sandbox_scanner_metadata,300,2,run_matrix_test49_sandbox_scanner_metadata.npy.apf_trajectory.jsonl
50,test50_mem_workingset_sweep_v2,mem_workingset_sweep_v2,300,2,run_matrix_test50_mem_workingset_sweep_v2.npy.apf_trajectory.jsonl
51,test51_mem_mmap_traversal_v2,mem_mmap_traversal_v2,300,2,run_matrix_test51_mem_mmap_traversal_v2.npy.apf_trajectory.jsonl
52,test52_mem_pagefault_density_v2,mem_pagefault_density_v2,300,2,run_matrix_test52_mem_pagefault_density_v2.npy.apf_trajectory.jsonl
53,test53_mem_rmw_intensity_v2,mem_rmw_intensity_v2,300,2,run_matrix_test53_mem_rmw_intensity_v2.npy.apf_trajectory.jsonl
54,test54_mem_writemag_sweep_v2,mem_writemag_sweep_v2,300,2,run_matrix_test54_mem_writemag_sweep_v2.npy.apf_trajectory.jsonl
55,test55_app_hashtable_intensive_v2,app_hashtable_intensive_v2,300,2,run_matrix_test55_app_hashtable_intensive_v2.npy.apf_trajectory.jsonl
56,test56_sandbox_ransom_seq,sandbox_ransom_seq,600,2,run_matrix_test56_sandbox_ransom_seq.npy.apf_trajectory.jsonl
57,test57_sandbox_ransom_slowburn,sandbox_ransom_slowburn,600,2,run_matrix_test57_sandbox_ransom_slowburn.npy.apf_trajectory.jsonl
58,test58_sandbox_ransom_selective,sandbox_ransom_selective,600,2,run_matrix_test58_sandbox_ransom_selective.npy.apf_trajectory.jsonl
59,test59_sandbox_ransom_batched,sandbox_ransom_batched,600,2,run_matrix_test59_sandbox_ransom_batched.npy.apf_trajectory.jsonl
60,test60_sandbox_scanner_metadata,sandbox_scanner_metadata,600,2,run_matrix_test60_sandbox_scanner_metadata.npy.apf_trajectory.jsonl
61,test61_mem_workingset_sweep_v2,mem_workingset_sweep_v2,600,2,run_matrix_test61_mem_workingset_sweep_v2.npy.apf_trajectory.jsonl
62,test62_mem_mmap_traversal_v2,mem_mmap_traversal_v2,600,2,run_matrix_test62_mem_mmap_traversal_v2.npy.apf_trajectory.jsonl
63,test63_mem_pagefault_density_v2,mem_pagefault_density_v2,600,2,run_matrix_test63_mem_pagefault_density_v2.npy.apf_trajectory.jsonl
64,test64_mem_rmw_intensity_v2,mem_rmw_intensity_v2,600,2,run_matrix_test64_mem_rmw_intensity_v2.npy.apf_trajectory.jsonl
65,test65_mem_writemag_sweep_v2,mem_writemag_sweep_v2,600,2,run_matrix_test65_mem_writemag_sweep_v2.npy.apf_trajectory.jsonl
66,test66_app_hashtable_intensive_v2,app_hashtable_intensive_v2,600,2,run_matrix_test66_app_hashtable_intensive_v2.npy.apf_trajectory.jsonl
